Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:26:01,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530361,0,0,0,0,
2020/01/20 14:26:08,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530368,0,0,0,0,
2020/01/20 14:26:20,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530380,0,0,0,0,
2020/01/20 14:26:30,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530390,0,0,0,0,
2020/01/20 14:26:40,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530400,0,0,0,0,
2020/01/20 14:26:59,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530419,0,0,0,0,
2020/01/20 14:27:09,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530429,0,0,0,0,
2020/01/20 14:27:19,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530439,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:27:51,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530471,0,0,0,0,
2020/01/20 14:28:01,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530481,0,0,0,0,
2020/01/20 14:28:11,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530491,0,0,0,0,
2020/01/20 14:28:30,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530510,0,0,0,0,
2020/01/20 14:28:40,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530520,0,0,0,0,
2020/01/20 14:28:50,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530530,0,0,0,0,
2020/01/20 14:29:12,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530552,0,0,0,0,
2020/01/20 14:29:22,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530562,0,0,0,0,
2020/01/20 14:29:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530572,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:30:04,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530604,0,0,0,0,
2020/01/20 14:30:14,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530614,0,0,0,0,
2020/01/20 14:30:24,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530624,0,0,0,0,
2020/01/20 14:30:43,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530643,0,0,0,0,
2020/01/20 14:30:53,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530653,0,0,0,0,
2020/01/20 14:31:03,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530663,0,0,0,0,
2020/01/20 14:31:22,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530682,0,0,0,0,
2020/01/20 14:31:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530692,0,0,0,0,
2020/01/20 14:31:42,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530702,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:32:14,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530734,0,0,0,0,
2020/01/20 14:32:24,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530744,0,0,0,0,
2020/01/20 14:32:34,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530754,0,0,0,0,
2020/01/20 14:32:53,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530773,0,0,0,0,
2020/01/20 14:33:03,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530783,0,0,0,0,
2020/01/20 14:33:13,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530793,0,0,0,0,
2020/01/20 14:33:32,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530812,0,0,0,0,
2020/01/20 14:33:42,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530822,0,0,0,0,
2020/01/20 14:33:52,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530832,0,0,0,0,
Timestamp,Central Unit,Temperature 1 ï¿½C,Humidity %,Temperature NFC ï¿½C,Led Mode 1,Led Mode 2,Buzzer DC 1,Buzzer Frequency 1,Board Type,Version SW,Push Button 1,Push Button 2,Power Supply,Battery Lvl,Battery State,Time Stamp,Data 1,Data 2,Data 3,Data 4,
2020/01/20 14:34:24,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530864,0,0,0,0,
2020/01/20 14:34:34,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530874,0,0,0,0,
2020/01/20 14:34:44,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530884,0,0,0,0,
2020/01/20 14:35:03,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530903,0,0,0,0,
2020/01/20 14:35:13,10,2001,3001,2000,0,0,0,1,660,100,0,0,120,0,3,1579530913,0,0,0,0,
